Name,Type,Latitude,Longitude
야채순대곱창,음식점,37.4878542,126.9809824
신부양각,음식점,37.4983526,126.9434741
순대나라,음식점,37.5066037,126.9627236
우슬재,음식점,37.5052422,126.9632378
정은식당,음식점,37.5129378,126.9355553
원조마포숯불갈비,음식점,37.5009313,126.9335442
신대방빨강떡볶이,음식점,37.498086,126.923532
비어 퀸,음식점,37.5078258,126.9634769
춘하추동,음식점,37.5127123,126.9355257
야산속,음식점,37.5129769,126.9361973
소문난만천곱창,음식점,37.5069778,126.9625329
이수찹쌀순대,음식점,37.4876722,126.981825
부일갈비,음식점,37.5091631,126.9609293
뽕잎사랑샤브샤브,음식점,37.5037668,126.9377383
만리장성,음식점,37.5044341,126.9367913
다래원,음식점,37.4959339,126.9312302
거구장,음식점,37.5080055,126.960744
계림(鷄林)닭한마리,음식점,37.4801124,126.9808795
민속갈비,음식점,37.5129275,126.942133
진미순대,음식점,37.5066037,126.9627236
등나무집,음식점,37.4881659,126.9078674
교뽕,음식점,37.5117376,126.9392632
예스,음식점,37.4840494,126.9801883
해달비,음식점,37.5076618,126.9638773
교촌치킨,음식점,37.4894765,126.9073327
금강산,음식점,37.496223,126.982323
유가네나주곰탕,음식점,37.477233,126.9775822
육장장이,음식점,37.4991976,126.9276631
청진동해장국,음식점,37.4884099,126.9073562
돈낭군 찌개부인,음식점,37.500567,126.9328086
대박,음식점,37.5045802,126.939809
짝태&노가리,음식점,37.5117364,126.9394261
전주한방오리,음식점,37.4831032,126.9757948
썬스타,음식점,37.5045599,126.9400604
이모네 실내포차,음식점,37.4828988,126.9739501
흑석동 명당김밥,음식점,37.5052422,126.9632378
"왕돈까스, 왕냉면",음식점,37.4946021,126.957535
김밥을주문해,음식점,37.4800519,126.9813902
타누키돈부리 이수역점,음식점,37.4868878,126.9810351
우리마을 생선구이,음식점,37.4991976,126.9276631
용원,음식점,37.4797927,126.9809042
강릉식당,음식점,37.4980298,126.9207304
사과나무,음식점,37.5075071,126.959707
왕돈가스왕냉면,음식점,37.5040379,126.9380251
사임당,음식점,37.5120618,126.9349389
엄마밥상,음식점,37.5074001,126.9596293
다래식당,음식점,37.5062277,126.9477199
투고샐러드 중앙대점,음식점,37.5074001,126.9596293
해피분식,음식점,37.5035087,126.9393921
아는포차,음식점,37.4799639,126.9810059
원조강릉교동반점,음식점,37.5118082,126.9444247
마포집,음식점,37.4876234,126.9815927
진솔,음식점,37.5132443,126.9423921
순천식당,음식점,37.5045802,126.939809
신짱스시,음식점,37.5046342,126.9402097
MEAL&DRINK(밀앤드링크),음식점,37.5125722,126.9364767
한울갈비,음식점,37.4771651,126.980777
성상등갈비,음식점,37.4902378,126.9085915
오븐마루 사당점,음식점,37.4775707,126.9781904
